146/6116,Tristan Caulfield,None
86/8823,Gianluca Stringhini,Boston University, MA, USA
184/5969,Savvas Zannettou,Cyprus University of Technology, Limassol, Cyprus
36/6225,Emiliano De Cristofaro,University of California, Riverside, CA, USA
251/2973,Tugrulcan Elmas,None
62/10989,Rebekah Overdorf,None
a/KarlAberer,Karl Aberer,Swiss Federal Institute of Technology in Lausanne, Switzerland
344/5564,Suyash Fulay,None
118/2631,Nabeel Gillani,None
16/1529,Deb Roy,MIT, USA
254/2754,Joseph Gatto,None
129/5417,Madhusudan Basak,None
165/8174,Sarah Masud Preum,None
330/9880,Parker Seegmiller,None
330/9859,Garrett M. Johnston,None
42/9640,Patrick Gérard,None
275/8507,Nicholas Botzer,None
73/2015,Tim Weninger,University of Notre Dame, IN, USA
184/3739,Salvatore Giorgi,None
38/2111,Ke Zhao,None
338/6470,Alexander H. Feng,None
353/3712,Lara J. Martin,University of Maryland, Baltimore County, MD, USA
234/8589,Jeffrey L. Gleason,Northeastern University, Boston, MA, USA
02/4151,Desheng Hu,None
212/2681,Ronald E. Robertson,None
79/5135,Christo Wilson,None
312/5929,Felipe González-Pizarro,None
222/1779,Maurício Gruppi,None
129/9507,Panayiotis Smeros,None
a/SAdali,Sibel Adali,Rensselaer Polytechnic Institute, Street Troy NY, USA
c/CarlosCastillo1,Carlos Castillo 0001,Universitat Pompeu Fabra, Barcelona, Spain
271/1443,Siyi Guo,None
262/6599,Negar Mokhberian,None
35/6453,Zhen Guo,None
s/MunindarPSingh,Munindar P. Singh,North Carolina State University, Raleigh, NC, USA
243/6972,Hussam Habib,None
35/8412,Rishab Nithyanand,None
356/9250,Khuzaima Hameed,None
86/1988,Rob Johnston,None
356/8541,Brent Younce,None
56/3229,Minh Tang,Johns Hopkins University, USA
27/11331,Alyson G. Wilson,None
296/1485,Hans W. A. Hanley,None
66/3984-6,Deepak Kumar 0006,University of Illinois at Urbana-Champaign, Department of Computer Science, IL, USA
143/5673,Zakir Durumeric,None
290/8712,Ryan Harvey,None
139/1036,Rémi Lebret,None
331/1547,Stéphane Massonnet,None
05/3422,Gianluca Demartini,University of Queensland, School of Information Technology and Electrical Engineering, Australia
02/4543,Amaç Herdagdelen,None
a/LadaAAdamic,Lada A. Adamic,Facebook
125/8512,Bogdan State,None
344/1572,Daniel Hickey,None
304/7531,Matheus Schmitz,None
344/1433,Daniel Fessler,None
45/11473,Paul E. Smaldino,None
172/7363,Goran Muric,None
154/6551,Keith Burghardt,None
195/8059,Tiancheng Hu,None
193/5425,Manoel Horta Ribeiro,None
135/5777,Andreas Spitz,EPFL, Switzerland
299/1913,Sohyeon Hwang,None
125/5041,Emoke-Ágnes Horvát,None
53/2356,Joshua Introne,Michigan State University, USA
180/3746,Waleed Iqbal,None
331/5926,Vahid Ghafouri,None
85/85,Gareth Tyson,Hong Kong University of Science and Technology
56/9730,Guillermo Suarez-Tangil,IMDEA Networks Institute, Spain
99/11343,Ignacio Castro,None
204/5370,Tunazzina Islam,None
274/6982,Shamik Roy,None
38/3382,Dan Goldwasser,None
236/0038,Johannes Jakubik,None
198/5318,Michael Vössing,None
322/5735,Hitkul Jangra,None
134/3502,Rajiv Ratn Shah,None
97/5147,Ponnurangam Kumaraguru,None
285/7036,Julie Jiang,None
36/360,Xiang Ren,None
230/4077,Aiqi Jiang,None
34/7374,Arkaitz Zubiaga,Queen Mary University of London, UK
156/7556,Alireza Karduni,None
217/2895,Ryan Wesslen,None
35/11389,Douglas Markant,None
82/4583,Wenwen Dou,None
122/2151,Aparup Khatua,None
78/11011,Emilio Zagheni,None
14/8398,Seungbae Kim,None
130/8167,Jyun-Yu Jiang,None
94/7996,Jinyoung Han,None
